timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/01/02 17:08:53.111, 71 %, 56 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:08:54.113, 63 %, 49 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:08:55.114, 66 %, 51 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:08:56.115, 67 %, 52 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:08:57.117, 85 %, 69 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:08:58.120, 70 %, 54 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:08:59.121, 83 %, 66 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:09:00.122, 74 %, 58 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:09:01.124, 70 %, 55 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:09:02.127, 58 %, 45 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:09:03.134, 46 %, 37 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:09:04.135, 51 %, 39 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:09:05.137, 65 %, 52 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:09:06.138, 65 %, 50 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:09:07.139, 72 %, 55 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:09:08.140, 72 %, 53 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:09:09.142, 64 %, 50 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:09:10.143, 62 %, 50 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:09:11.146, 71 %, 54 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:09:12.147, 68 %, 53 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:09:13.149, 66 %, 50 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:09:14.150, 71 %, 52 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:09:15.152, 66 %, 50 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:09:16.155, 72 %, 55 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:09:17.156, 70 %, 55 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:09:18.158, 63 %, 49 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:09:19.159, 60 %, 49 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:09:20.161, 67 %, 53 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:09:21.162, 64 %, 50 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:09:22.165, 63 %, 48 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:09:23.167, 69 %, 54 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:09:24.168, 88 %, 68 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:09:25.170, 76 %, 62 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:09:26.172, 72 %, 56 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:09:27.173, 73 %, 54 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:09:28.174, 74 %, 58 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:09:29.176, 88 %, 69 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:09:30.178, 80 %, 62 %, 15360 MiB, 458 MiB, 14451 MiB
